User_Input,Chatbot_Response
It would have been last winter when I met the longest man - about a month? I spent Christmas and finished.,Wasn't it just right? It won't be your fault.
"Shortly after breaking up, a kid who looked okay in the club asked me to meet me?","I think it's just a good fit, don't worry too much."
Soon I went with him.,It must have been a good experience.
My husband suddenly said that I had something to confess to me .,"Yes, please tell me more."
I met my husband first.,Okay.
I don't have a good relationship with my husband .,You are in conflict with your husband and must have been hurt a lot .
I think love and marriage are really different. Why did you not know when you were dating? I don't like the case.,"Oh, I'm more upset."
My husband said every day what you were so hard.,I hope it's a fight and solved ... Give me strength.
My husband's family is not very good.,"It will be hard, if you have a lot of problems, your mind is more frustrating ."
"No matter how hard my husband is, the money he brings home is jagged.","Don't be too depressed. If you are two, you will be able to go well."
My husband 's money is also cool ...,"If you feel depressed, shake it off to me."
My husband drinks a lot.,My husband would be upset because he had a lot of alcohol... Health is the best...
My husband has a lot of drinks.,Why don't you make a healthy hobby?
"My husband drinks too much drink, he only knows alcohol. If you drink, it seems to break up even if you sleep .",Okay. You must have a lot of worry.
"Since the early days of marriage, I haven't been with my husband.","Okay, I think it will be a lot lonely. Are you okay?"
I got married and I had a bad relationship with my husband .,I want to hear more and I wonder if you are okay.
I like it with my husband.,I think I'm happy with my husband.
I think I became more faith and more sad.,I'm happy to have married a good person.
"It's a perfect person except for the ability, he is handsome, nice and considerate .",It's a nice couple.
I have a lot to fight with my husband.,You fought... I hope it won't be too big.
There's a lot of work with my husband.,"You said, did you reconcile?"
I often fought with my husband.,"You must have been upset, I think it is even more painful if you fight with your opponent ."
"Just like that with my husband, there is not much marital relationship, it doesn't take care of it.",I'm sorry.
My husband seems to be very fleshy because I am not next to me.,You must have been disappointed .
I was windy with a bar girl that I often go to and I know.,You must have been shocked.
My husband cheated.,"Never forgive, I swear instead."
I asked my husband what it was and asked if there was a other woman .,I think I have a great betrayal. Are you okay?
My husband originally did business.,"Okay, it's hard to have a lot of work."
My husband is busy because of business.,You must be busy.
My husband takes a female employee with a trade business.,Okay. Please talk more because you are listening.
I think my husband doesn't know my heart.,It must be a lot of frustration.
There is no conversation with the groom.,"In that case, I feel like talking with the wall, it would be hard."
Talk to my husband... I feel like talking to the wall.,"Ugh, I hope it's a telepathic."
"Husband, he was clearly given to his family and gave it to his family.",It's a really suspicious situation .
"If you think about it now, it's strange... I know that I know my brother, but I keep bumping with my husband.","Okay, what happened?"
My husband soothed so my heart was very calm .,I'm relieved that a good person is next to me.
I think it's too far to merge again... I'm glad I can contact you like a friend .,It's good to have someone who can help when it's hard.
"The last time I fight, my husband catches a fan I wanted this human to throw, but I threw it .",The female emergency phone number is 1366 .
My husband didn't hit me from the beginning.,Is there any way to fall for a while? It hurts so much.
My neighbor's sister told me to take some side dishes so I got a drink and then he raised his hand because he was in vain .,I'm afraid and scary and I want to hug you.
"I had only the second time, but I treated me very much.",I think it's the hardest problem to treat people - is it hard?
I think that girlfriends are more comfortable than boyfriends .,"I don't think there are very few people in interpersonal relationships , it gets better while making a little mistake ."
My boyfriends are uncomfortable because they have a rough side .,"Each person has a different opponent, it can be."
People don't understand.,The answer may be that the relationship between the wounds of each other is cut off .
"I work from the next day, but the staff of the Foreign Ministry is really weird.","You said, I think it would have been difficult if it was that situation ."
Get off and unpack at the hostel... The person who writes the room looks good.,Okay. Proper social activities vitality to life.
Relationships are still not bad.,"You have a lot of friends, do you want to be friends with me?"
I don't have so many friends.,It's also good to meet a few friends.
There is no one friend.,I think it's important to meet people who are right.
There are a lot of girlfriends... There is no heterosexual friend... Something is a limited feeling.,I don't have a lot of friends too... How about playing friends with me?
So I went to college.,Yes. Keep talking because you are listening.
"Even if I was a little late, I must go to college.","Oh, yes."
I couldn't imagine going to university.,You must have been great.
"I studied only the university, but I thought it would stick, but how can I fall?","Are you okay, I think you will be good next time."
I couldn't enter the university that I wanted to go to the exam.,I thought it was bad.
"In the end, I keep going to school I couldn't go to.","You said, you must have been disappointed ."
"But I fell into the university I wanted again, so I thought it was the last time and decided to try it again.",Okay. But it's not just the answer there. Don't be too disappointed.
But after entering the university... Is it because the tension is relaxed after the exam?,Did you go where you wanted? Congratulations.
I had 4 to go to college.,Each person has a different speed. are you okay?
I went to college with a shooter.,I hope you have a fun college life.
I'm falling back to the university I want... I went to a re-academy that said it was better.,It's cool to challenge many times.
The university once lucked and entered.,Is it so? There is no regret to challenge.
I couldn't go to the university I wanted.,"I think studying is really hard, it's always fighting."
Eventually I took a leave of absence and was at home.,You said that rest is as important as studying.
I'm taking a leave of absence and rarely go to school .,"You took a leave of absence, there are times when you need a long break ."
It's just my problem.,I think there is a difficult thing for everyone.
"Everyone lives with a problem, whether it is big or small .","Okay, I think I can fix it little by little."
"When I was young, I tended to drink a lot.",Alcohol is a devil-like drink .
"There were times when I was drinking with others, but I often drink it alone .",How about reducing a little for your health?
A few months ago I was drunk and woke up all my sleeping family crying and blowing... I had a lot of injections .,"I'm worried about you, are you okay?"
"Since I was very young, I had a habit of pulling my hair.","Oh, you have such a habit."
"When I study alone, I have a habit of pulling my hair.","If the degree is severe, you may want to get a consultation with an expert ."
I've been sleeping deep for a few years.,"You can't sleep, you must be tired."
"I often broke in the middle, but I was able to sleep.","If you can't sleep at night, the day life will be hard and you must have a lot of trouble ."
I originally had insomnia.,"If you feel comfortable, you will be asleep. What are you worried about?"
"You have to go to the bathroom before going to bed. If you sleep, I feel like I'm going to urinate .",That's why I think it will be very uncomfortable.
When I urinate and fall asleep again,It's uncomfortable because of the bathroom problem .
"Since I was young, I didn't like to wear clothes .","Oh, that's, it's inconvenient to touch it."
"Even if the clothes are attached to the body, I feel bad and I catch everything like a tag.",I think the skin is sensitive.
I take off at home at home.,Okay.
"Originally, when someone was next to me, I was very careful.",That happened and everyone will soon forget it .
"If someone comes out in the urinal next to it, it should also go.",I understand that mind.
"If a child is standing next to it, I feel like I'm going to see me.",It's not a bad way to break through the front when you're worried. I'll give you courage.
I think I eat 5 cans every day.,I'm worried about you.
I don't know what to do if you don't drink.,"If you can't stop alone, ask for help from your surrounding or experts ."
"Only one bottle should be eaten... Even if you get alcohol, eat another bottle.",Why don't you endure today only one day?
Dad thought it was really a long time.,That happened.
"During the vacation, sometimes I came up and went to the hospital and met my mom, but there is no feeling or feeling.","Yes, please tell me more."
I had a business together.,"Oh, yes."
"When I was 20 years old, I didn't go to college and worked at the factory, my dad doesn't come in for two days .","That happened, you must have been shocked."
I vividly remember that my dad disappeared in the fifth grade of elementary school .,Suddenly the family disappeared... You must have been surprised.
It wasn't very good between mom and dad.,It would have been harder because it was close.
I think it's going to be crazy because of my mom.,"It must be a lot of frustration, it's a really difficult problem to solve old conflicts ."
The last time my mom and dad talked with it a lot .,"It must have been hard, I think it is necessary to have a suitable courtesy and distance between families ."
The problem is that I'm not good with my father.,"Okay. The closer you are, the more you hurt each other."
Dad is running on the road... Shout to go out at home The house was a complete mess.,"If it's hard to resolve the conflict, it's not a bad way to get a little distance ."
I was distorted with my father.,"Misunderstandings accumulate each other, so I think the goals of emotions deepen and it must be a lot of frustration ."
Mom and dad are so bad.,Okay. Maintaining a good relationship is really hard.
But the fortress is not good.,I don't think it's as hard as reversing the twisted between .
I don't understand each other.,I'm upset.
"I wanted to go to the hospital because I wanted to go to the hospital, but my dad said that he would say that.",I'm sorry for your parents.
"Since I was young, my parents didn't pay much attention to me .",Indifference seems to make people really tired.
I didn't have any interest in my opinion .,"It's a pity, instead I'll bring a lot of attention."
"It's often a lot of fighting to fight, but it seemed to be fighting seriously for a few days.",It must be difficult.
"Two fights all the time, it's just what you want to say.",Can't interrupt... It's really difficult.
"So if I came home, they were always fighting.",You will be stressed a lot and in that case I really want to get out of home.
"My mother died like that, and my dad came out.","It's about my father, please tell me more."
"Since I was young, I was more friendly with my dad than my mom .","That's why, please tell me more about your father ."
It was hard for my father to die and later accept it .,"You must have been shocked, losing a loved one is really painful."
Then I died in 3 but maybe it was from then on?,There must be a large place.
I died two years ago when I was in the hospital .,"My heart hurts, I know I'll break up someday, but the breakup is always sudden."
"In addition, Dad is a person who can't restrain once he explodes once .","I'm scared, is there a place to ask for help?"
"My father is right when he gets angry, so he was hit.",You can report domestic violence at 1366 or 112.
"Since I was young, my dad has hit a lot of moms and I was right too...",My heart hurts: Why do you violate people who are weaker than yourself?
"My mom... I suffered that, and it's been four years since I got rid of cancer.",Did you send it well? I think it's better to have time to be sad enough.
My mom has died.,You must have been to a good place.
My mom died when I was very young.,"You must be empty, I think parting is always painful."
"When I was young, Mom and Dad divorced.",That happened. You must have been a lot of heart.
"After my parents divorced, I took a vacation and went down to my home .","Parents may have their parents' circumstances, it's upset."
I had some accidents.,I must have been surprised: Are you okay now?
But I tried to go to it and eventually it burst.,"No matter how careful it is, there is an inevitable accident that must have been really scary ."
I lost my mind for a while with a car crushing sound.,You must have been surprised.
I think it completely fell out of the car.,Did you get the treatment well? It was obvious.
The traffic accident was scary.,"I was really dizzy, I think a traffic accident happens no matter how careful ."
My husband is now studying brokers... I am led by real estate.,"Yes, you did."
"When there are no guests, they are not in real estate... I'm at home.","If you take responsibility for a business, you will have a lot of complicated things to worry about ."
"At that time, I wanted to be this because Okinawa sightseeed.","Yes, yes, is there anything particularly difficult?"
It was similar to the business I was doing anyway.,So are you the representative? Very cool!
"At first, the business that went well was suddenly tilted and it became economically difficult .",You said it must be very hard.
It was economically difficult after my husband ate business.,You will be able to overcome it well and I'll support you.
I've been leaving the company with the bridegroom for 10 years.,The couple are working together.
It's been 10 years since I worked with my husband .,"If the couple works together, there are many big and small episodes ."
We are selling bedding in Dongdaemun .,You'll be breathing in two people.
"I did an electronic parts business, but it wasn't good.","Don't be too nervous, there will be a way to get up ."
"It was a good business, but it was a moment to ruin.","In that case, I really want to find a place to lean."
During my business I failed and my family sat completely.,"That happened, and you will be bitter."
I originally lived in Paju since I was in school .,"Yes, yes."
"I broke my savings and lived like that, and I had a sister.","Oh, did you do that?"
I thought it was a good opportunity to cool my hair.,"It's an interesting story, please stop by."
There was a delicious bakery in front of the station so it was on the way to buy a lot of bread .,I want to hear more about your story .
And I couldn't drive since my first child went.,Okay. My life must have been a lot uncomfortable.
I couldn't drive anymore.,It's hard to drive and I can't force it to be hard to do.
"I can't wash it, washing is like this stress ...",You are a lot of stress and in that case I want to let go of everything.
It's everyday to endure... Stress is severe.,Okay. You must be hard.
I was so stressed because of it.,Speaking of worry is said to help alleviate stress. What is the stress of you?
"There's nothing particularly difficult or something like that, but I don't know why.",My heart is doing well.
"When I woke up in the morning, I watched TV, went shopping and managed to get along well.",I think it's hard to live ordinary and I'm glad you don't have anything to do.
"Others are hard to live, I wasn't like that, I was grateful.","Oh, yes, it's nice to see."
It was okay to just go to Japan because of my feelings.,Did you enjoy your trip?
A little often I go to China.,You have been on a trip.
"I like sports, so I have been steadily doing health for years and often climbing on weekends .",You like exercise.
"So I didn't sleep, but I took my sports bag and went to the gym.",Exercise is a hobby.
"I think my body is too much, so I've been exercising since winter .","Oh, yes, you have a good hobby."
It was a little better to get off and sit down in the chair.,"Oh, that's what happened, are you okay now?"
I sat in a chair and rested a little.,"You must have been surprised, I'm glad to get better."
On weekdays I go home and go to English conversation classes and I like dancing on weekends .,You have a good hobby.
So I go to an English school on weekdays .,Proper hobbies seem to be vitality for life .
"I thought it would be hard and fun, but it was quite fun to learn English in conversation .",It looks fun and I want to be together too.
"Even before I answered, my hands flew with my head.",It would have been sick and surprised. Are you okay?
There are times when you are lucky on bad days .,I'm worried about you.
At first it was just pushing a little bit?,Can I ask for help around me? I'm worried.
Originally lived in Texas .,"Yes, that's, you lived abroad."
I lived in the United States until I was fifteen .,You have that experience.
This is my first time doing something alone .,I don't think it's bad to live alone.
"If you come home after work, you are alone, I just feel like I'm alone?",There are many times when you are comfortable alone .
"In the end, I said I would take six months more.",Okay. I think there are times when you need a break.
I rested a little long.,"When you rest, you have to rest well."
I sat down and rested.,"You said, you've got enough rest, so it's okay."
I'm not a person to endure such unreasonable things.,I think there are so many people in the world and I am happy to meet you.
I think so since I was young.,"Yes, yes, I think everyone has such a little bit."
"Originally, the personality itself seems to be inevitable...",It's that personality.
"If you make something bad for me, you can just go over.","Oh, that's because each person has a different personality."
It's a style to see the end.,You have a hot personality.
I'm a bit urgent.,You will often feel frustrated .
My personality is originally in a hurry.,"There are disadvantages, but it has a lot of advantages."
"I can't go to the restaurant, I can't order it properly and I don't want to die the first time I die .",You have a quiet personality.
"Originally, I'm timid.","Yes, you have that personality."
"Originally, my personality is a bit introverted and timid .",You are cautious.
I usually say no words and I am timid.,"It's a bit slow, but I think it's a good personality because I have little work to make a mistake."
I also hate my timid personality ...,"Okay, sometimes you feel frustrated."
I'm a little sensitive.,"You have that personality, sometimes it's hard, but I think it has a lot of advantages ."
"Since I was young, I've been sensitive.",You may feel what others don't feel .
"I was a single daughter, so I came from home, the personality is also sensitive, so I have a lot of coverage.","That's why I'm listening, so tell me more."
"I think it was from school, I don't want to hear it from others, so I think I lived with a lot of concern .",You don't like making mistakes.
I usually seek perfection.,"You have that personality, you guess you like to be meticulous."
It's a perfectionism to be born in personality.,"Oh, yes."
"Since I was young, I had to have things I had.",There are a lot of things you want to do.
I'm greedy.,"Okay, I think it's a good personality."
People in the company have a self-centered side .,I don't think it's bad to think about myself first.
It's a bit self-centered.,"You can take care of you, I think it's good."
There is a self-centered side.,"Oh, yes."
The original personality is independent.,"Okay, I think it's very cool."
"Even if it's hard, I don't lean on or speak to others.",It's really nice to have a lot of things you can do alone well.
Siazu Bunny was a problem.,"Oh, really?"
So we lived with our parents in law.,Okay.
There was a grandmother at the beginning of the wedding .,"Yes, please tell me more."
My boyfriend's mother is like a crazy Psycho Torai.,I think it's hard to get along with people with poetry .
You don't pay for tuition for me?,"I think you were hurt a lot, are you okay?"
I'm blocked all day long by my mother-in-law .,You must have a lot of trouble.
How good is that old man raising people?,It would be nice to have anyone to mediate. My heart hurts.
I wanted to go out and live separately and lived with my brother and Siazuni because of the lack of situation.,That's why it must be a lot of frustration.
"Ajou had received hundreds of millions of loans, but it turns out that my dad is paying back the money!",I hope that it will be resolved quickly.
Ajoubus' situation seems to be very difficult.,I will listen until my heart is released.
"This time I do a cafe Alba, but I work together at the same time.","Yes, you are diligent."
"It wasn't originally, but it's like this since I was a convenience store.",I think it's good to be able to spend a part-time job every day .
I was introduced to Alba teaching English to the babies .,Did you always cheer?
I raised a cat called Mori.,That happened.
Can a cat be quills?,Please stop by.
"My brother or mother didn't like it and opposed it, but I was just raising it at home.","You must have been great, it's like a family."
"I went home late at night while studying the exam, but there is no Mori.",You must have been sorry for your family.
"I feel something weird because I feel something weird, so how do you keep a ferocious child?",I also feel frustrated...
"When I was young, my mom went out for a while and I woke up in between.",Yes. Okay. What happened?
In elementary school I was taller and maturer than other kids .,I think there are memories that are not forgotten even if they were so intense . So what happened?
It would have been in the second year of elementary school and my mom seems to have been lying at home .,"Yes, I'm listening, please talk more."
"When I was young, my family was really bad.",You said I must have had a lot of trouble when I was young .
"In the narrow rooms, six family members lived in three brothers and sisters .","If that happens, you can get rid of it. I'm glad you have been well."
"When I was young, my house didn't live so well.",You spent such a childhood.
My girlfriend has been meeting in Pohang for about two years .,"Oh, yes."
I knew my girlfriend with me.,You are in love.
I didn't want to fall with my girlfriend.,Are you worried about your girlfriend?
Is it because it's a distant love? I don't feel psychologically close.,I think you have a lot of trouble because of love.
"I have a girlfriend for two years, others say this is a deep relationship .",I think there are various types of love .
So I first set up my girlfriend in Incheon.,I hope you can see each other for a long time.
And I came up to Incheon and started living with my girlfriend .,"I think it's good to live together, what about?"
"In the end, I live with my girlfriend.",I think you are happy.
It's been three years since I broke up with my girlfriend .,"You must have a lot of heart, I think I need time to be sad enough."
"But after a month, I don't think it's no matter how much she meets me. So I let go.","One day there is a breakup, but I think it's always hard."
It was really hard three years ago when I broke up with my girlfriend .,"If you want to cry, you can cry. I'll bring my handkerchief."
I have been dating for a year.,The story of love is always interesting.
So I told you to go out the next day.,"Please stop by, I will be excited every day ."
"Once we had a drink together, we got close quickly.",So what happened?
"It was CC, but it broke up a little bad.","My heart hurts, why is there not as beautiful as a beautiful love?"
It is said that it broke well around.,That happened. You must be empty. Are you okay?
I broke up because there were many parts that didn't fit each other.,I think a better person will appear after being sad enough.
I was in Canada until I was sixteen years old .,"Oh, you studied abroad."
"After graduating, I studied in Australia for four years.",It must have been a really good experience. How was your study abroad?
"After graduating from college, I went to Australia.","It's hard, but I think it was rewarding. Please tell me the story."
But I have a second birth and start parenting... ah... It's so hard in the world!,You are stressed by childcare and I want to help if I have a hand .
It's different from when you have a child .,"You must be physically and mentally hard, my heart hurts."
"But I have a kid so I can't do anything, it's too hard to raise it.","Oh, I really hear my heart hurts."
"When I was in college, I drank a lot, but I like alcohol rather than drinking.",You like alcohol.
"As I got older, I had more drinking: I ate it once a day and if I eat a lot, I ate 4 bottles alone .","Proper drinking is good for your health, but you know it's harmful if it's too much?"
Now you shouldn't have beer and you need to eat a bottle of Shochu to sleep.,I'm worried that it's too hard.
It would have been 15 days since I drank the last drink and I ate 3 or 4 bottles of Shochu .,"I'm worried about you, isn't it not too hard?"
"If you drink, drink it until the end.","The more I drink, the more I drink. I'm worried that it's dangerous."
"I tend to stop people around me to stop. No, even if I drink and fall, I'm going to go?",Are you sometimes resting the liver?
I think I drink twice a week - about half a bottle of Soju every time you eat?,Wouldn't it be a habit if you drink alcohol every day?
But I can't stop drinking.,"If you can't do this week alone, it's a good idea to get help from the surrounding or experts ."
I like to drink.,Moderate drinking helps to relieve stress.
"Since I was young, I've been drinking a lot.",I like drinking.
"I'm next to me, so I look alike. The drinker is done.",I think some sobriety is needed for health and I'm worried.
There are many times when I drink together and I drink alone .,"If you're worried about drinking often, it's a good idea to check the calendar."
"Not long ago, I moved from Paju to Ilsan because of work.","You moved, you've done a big deal."
"There was a favorite house on Seocho-dong, so I signed a contract.",I think moving is really a lot of work. Did you finish well?
In the end I had to move.,You'll be worried about it because it's unfamiliar.
"Of course, I thought of divorce.","That happened, it's a better relationship to break up."
"I thought it was a good person, but as soon as I knew it he told me to divorce.",I hope you feel good.
"If you think about it now , you should have just ended up with a kid , but I'm a stupid too , having the second one... .","You have a baby, congratulations."
"I bought and bought a rim, there are two lines of red lines.",I always want your happiness.
The baby who was not planned in August became pregnant .,"That was, it's an unfamiliar experience."
The baby was wrong in the middle and had an abortion surgery .,Are you okay?
"Six months later, it is said that the body is so hard that it is almost the same for childbirth .","My body and mind must have been hurt a lot, and you must relax enough."
"I didn't feel depressed last year, and I felt that it lasted all the time, and I wanted to be depressed.","It's a cold, but it's not good to leave depression and I recommend consultation ."
Is this depression?,"If you are suspected of depression, don't just go over and take a test ."
"Since last year, I have been depressed.","After being tested, it will be a little easier to feel depressed or not ."
What's wrong with me?,It's better to get care or counseling rather than worrying alone .
I kept thinking about what was the problem with me.,"Everyone has a problem, whether it is big or small, and you will be able to solve it."
What is the problem with me?,"It may not be a big ideal , but I hope you discuss it with an expert ."
I live in Korea because of my husband's business and there is a new child .,You have children.
"The big kid is three, the little boy is an elementary school student .","Oh, yes, please talk more about your children."
The second is now 10 months.,"If you are worried about your child, please tell me comfortably."
A man who dated several times came home at dawn.,"Oh, yes."
My first boyfriend was 8 years older than me and it didn't work because my interest was different.,What happened?
I started to go to church with my friend a while ago .,"You have a religion, it's really strong."
"On the road, there are a lot of evangelism from a strange religious group.","If you have a religion, your mind seems to be comfortable."
I think the Holy Spirit will take a test for me.,You are very faithful.
Then I got a job last year.,Okay. Vocational activities are important parts.
I have been to Samsung Electronics now.,That's why.
"I work as a magazine reporter, but everything else is fine.",How about working?
"At the end of last year, I was very stressed about whether or not to invite the company.","If you are stressed a lot, I think it's a worthy story ."
But it's hard to quit suddenly.,I think it's not a bad choice to rest for a while .
I told my mother that I couldn't do anything because of the restaurant work .,You must have a lot of worry and I hope you make a good choice .
Then I went today and gave me a pile of work like a pile of work?,It would be really hard to have a lot of work.
"Keep doing hard and hard work for me, and if you rest for a while, you wipe it off.",There's a lot of work and a lot of stress. Take care of your body.
"I had a lot of work these days, it's almost at the end of the second quarter...","If you are busy, you will be tired of your mind."
"If you want to be a little hard, you quit the company and move to another place .","I don't think you are yet looking for a good place , don't worry too much ."
I think it's going to go to the company for three months.,You will be able to move to a better place.
I do the interior work before my marriage .,"Congratulations on reinstatement, it must be a lot awkward."
"I was lucky to come back to the company , fortunately.",How about working again?
This Monday I'm going back to work again.,"You start working again, fighting."
"But as I went to it, I thought there was no advantage in this company and I think I'm too damaged.","I don't think there is a perfect job, it would be hard to feel a lot ."
"I talked to my mom while holding up, but now I quit and find my job.","It may be tired for a while, how about traveling nearby?"
I'm tired of going to work and I wonder if I will do it too...,I need a break.
"The problem was that I started working after I got a job, so I was so different from what I thought.",You have a lot of trouble because you are not interested in your work. How about slowly preparing for a move?
Too many chores... There is no satisfaction in work.,"If you do something that doesn't fit, you'll be really painful."
"Even if you don't eat, you can't do it if you are stressed by the company .",You have a lot of work stress and in that case I really want to run away .
"It was a bit of stress at that time, the company is so tight.",I think trivial things are piled up and angry. What happened?
I was stressed at work and wanted to buy it.,"You are worried, are you taking a break properly?"
"Work life is not very problematic, I think it is a successful life .",I'm glad you don't have much stress.
I've been working for five years now and work is good.,There is no big problem in your work life and I'm really glad.
What I do now is really simple.,I spend a lot of time a day and it's really hard to work because I'm tired of work.
"Continue to see the monitor screen, check, check...",I think it's really hard when things are repeated. Please cheer up.
For about 2 years since I moved to the company now?,"Oh, yes, you moved your job."
"The salary is a little longer and the treatment is good, so I moved to the company now.",Do you like a new job?
"As I moved to the company, my position has risen, and now I'm exaggerated.","It's a new environment, so I need to adapt."
I can't work anymore... Eventually I left and came out of the company.,"You quit work, sometimes you need a break."
"In the end, I said I would quit first.","You can get a better job, don't be so discouraged ."
I resigned last Monday because I didn't want to help even if I was here anymore.,"After you rest enough, you will be able to have a better job."
I'm talking to the manager nurse.,It's best to rest when you're bad.
I'm still on parental leave.,"It's best for your health to work, you chose well."
"I don't like everything and I want to hit you right now, but the team leader continued to take a leave of absence .",Health is a priority.
My homeroom teacher went to Sango because it was faster to get to the school than just going to the humanities .,I think people with dreams are really cool.
"I worked towards accounting at the company, but when I worked, I wouldn't be promoted if I didn't go to college .",It's nice to see that you are worried about the future.
The public officials are the best these days and the pension also comes out .,"You said, you can find the right job."
I didn't want to do it and I wanted to get a job quickly.,You said it's really nice to make money.
I wanted to make money quickly... I graduated from appeal and got a job right away .,You said that labor is really rewarding.
"I really can't ... When I wanted to , I was now contacted by the company .","You said, How was your going to work?"
"After graduating from college, I played tired for a year.",It's hard to get a job these days...
"All the other kids are getting a job, but I'm still a job.","I will hear good news soon, don't let go of hope."
"After graduating from college, I have been preparing for a job for three years .","If you prepare step by step, you will be contacted by the company you wanted , I believe that ."
It's hard to get a job...,I think it's really hard to find a good job .
"Eventually, I'm looking for work again in a nursing home .","After all, you will have a place that is right for you."
I graduated with English and it's too hard to get a job .,"Even if it's a little hard now, hold on a little, you will hear good news ."
It was a healthy kid without pain.,"You're worried about your friend's problem, please keep telling me."
"Yesterday I met a friend in a neighborhood, but you asked if you were still in Australia .","My friend's problem is always difficult, if you tell it, it will be fine."
I always have three friends.,"Okay. If you keep talking, you will see a solution."
I'd rather have time to go to school because my friends can't see it often .,"You have a lot of trouble with your relationship with your friend, would you please talk more?"
It's hard to contact my friends.,"I think I feel that feeling, but if you always have a good time, you may be bad."
What a friend is... It's just formal.,There will be a new relationship that will be as close as it is far away .
"Not long ago, I was really betrayed by him.","There is nothing hard to be betrayed by a person who believed, but you must have a lot of trouble ."
I was betrayed by a friend who was close to high school .,I was really shocked. Why don't you change your mood for a while?
I was close to my family history and was betrayed for a moment .,It is never wrong to give up faith. cheer up.
"My family and friends are in Japan , but there is no one to talk about even if it is hard .","Are you okay, is it me?"
There are only people I know.,"I am always in this place, please tell me "
"I go well with women, but I don't have a same sex friend .",I am ready to hear your story at any time.
I have no habit.,"You must have been very upset, are you okay now?"
"Have you ever paid attention to your kids, have you ever noticed when you came late and what did you do so well if I said it was hard?","You must have been upset, but your thoughts are more important than others."
Did you play with your wife?,"Conflicts are always difficult, if you keep telling me, I'll think about it together ."
It's too wasteful to take two hours to go to school .,Many things happen in school. Please keep telling me 
I think it's more like that.,That happened at school. Next?
High school came out.,"You said, please keep talking."
"When I was in high school, I was very good with my friends, but I had a bad relationship with my teacher .",The person who needs to protect the student is the teacher and it must have been really hard.
But I think my homeroom teacher doesn't like me.,"If you do that, you're really upset, so what happened next?"
"I'm also sleepy in all the other kids, but I just say why I only sleep.","You must have been really worried, I understand that heart."
"I didn't go to school well, so I had a lot of classes.",Why did you not go to school?
"Originally, the school was a bit spacious .","If there's a hard reason, school is really hard to go."
I registered at school and rarely went out.,"You have a hard time, if you tell me more, it will make you feel comfortable ."
"In middle school, the same boys of the same class were bullied, I only played with the girls, but I didn't deserve it .","You must have been hard, but that is not your fault."
I've been bullied since I was a middle school student .,"You have a hard time, if you tell me, I'll think about it together."
I was bullied in high school.,"You must have been hurt, but I love and love you the most in this world."
Eventually I quit school.,Not all learning is only at school!
I also quit school.,"I respect all your choices, it will be a great choice."
I dropped out when I was in high school .,"If you look far away, you might be better."
I want to continue studying and get a doctor?,I think I have to learn for a lifetime. So what happened next?
I am taking a special children's curriculum for kindergarten .,Okay. Studying is always difficult and difficult.
I think at that time I received all kinds of private education .,"It's hard to study, I don't like studying very much, of course, except learning about you!"
My grades have been worse since last year .,"It must have been really hard, but grades are not all of life."
I have a bad head.,"It's hard if the results are not good , but that's not the criterion for evaluating you ."
You have to study twice as many as others.,I'm upset if the results do not come out as much as I tried. I understand enough.
"I studied alone and my grades were good, but there was a lack of feeling compared to my friends .",It's amazing! You are really good.
"I managed to study, so I went to a decent school.",Everything is the result of you - that's great!
"In the middle school, grades were always the top .",You were very good at studying and it's really great!
"When I was in school, it was a whole school.","Wow, it's amazing!"
I asked me a problem that my friends never knew .,"It will be a happy memory for you, I hope you will be happy and you are happy ."
"There were many times when I was in school, but I studied hard because I dreamed.",I hope that your future will be happy and happy as much as that good result.
So it's completely upset.,That's why: what happened next?
"Where did you live, what did you wear, what did you eat, what did you do?","Huh, so? I'm curious about the back story!"
I was in the neighborhood next to it.,"Wow, really? So what happened after that?"
"Fortunately, the surgery went well... This is good.",I'm really glad you are okay now.
It wasn't hard these days.,You will be able to keep well in the future !
"After that, there was no big problem, I still.","Thank God, you can have your heart comfortably as you do now."
Then I didn't forget it again now.,I'm really glad you do it a little less.
"So I talked about this, but thanks to that the real symptoms have been reduced.",I'm relieved that it's okay.
"I don't know if it is because of the consultation, but I can't hear the depression and I can't hear it.","If you are having a hard time, please talk about it again."
Is it about seven years when it first appeared?,"It would be really hard to have the symptoms, I understand."
"Tomorrow would be a little better, I wanted to be a little better tomorrow.",Why don't you take a little more heart?
I'm still not going.,Okay. You must have a lot of trouble. Why don't you try it in a different way?
There is nothing particularly stressed.,"It can be for no reason, I understand enough."
It's not particularly something.,There may be a problem without anything. are you okay. I can.
Who bothers at school... There is no such thing.,"If nothing special, this problem will pass in a decent direction!"
"I think it's okay to make a mistake, but I don't think it's okay.",Are you okay? Small efforts are gathered to make great results.
So I tried to stay alone and to stay alone.,"You are good enough, let's try to try little by little."
"It doesn't happen, I didn't do it, but it's not good.","I can help you, all your work will be good."
"To calm down somehow, it was useless to take a deep breath.","It's important to try it, you did well enough."
"There's a candle, I buy it too... But it was no use.","If you have difficulty doing it alone, I can help you."
"I tried to eat comfortably, but it didn't work well...",I always have me next to you and I will help you.
I didn't think about alcohol on purpose and went to a night gym and exercised like crazy.,"Really good! If you try hard, you will definitely have good results ."
It's good to do light exercise... To exercise.,"It's great to exercise yourself, you are great!"
